epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6814,1.27104,5.79166,0.03187,0.2365,0.25603,0.16656,0.04589,1.8445,8.68898,0.06586,0.000545182,0.000545182,0.000545182
2,64.6871,1.6242,2.45627,0.04273,0.09536,0.16786,0.08169,0.01662,2.14589,22.122,0.0736,0.00109722,0.00109722,0.00109722
3,97.0153,1.70386,2.18548,0.04472,0.20022,0.24579,0.10567,0.02906,2.63778,30.4114,0.09509,0.00164558,0.00164558,0.00164558
4,129.121,1.73214,2.23139,0.04525,0.24909,0.15901,0.13377,0.03278,2.42076,nan,0.08792,0.0016505,0.0016505,0.0016505
5,161.055,1.65575,2.10136,0.04437,0.44207,0.2919,0.34419,0.11106,2.17204,68.718,0.08,0.001645,0.001645,0.001645
6,193.433,1.58684,2.02239,0.03983,0.21066,0.29212,0.12357,0.02948,2.48452,9.42904,0.08905,0.00163949,0.00163949,0.00163949
7,225.773,1.52503,1.95433,0.03832,0.63007,0.47902,0.50807,0.17744,1.98059,11.0426,0.07265,0.00163399,0.00163399,0.00163399
8,258.879,1.48878,1.86043,0.03657,0.70392,0.5003,0.49936,0.2106,1.91101,4.40951,0.06288,0.00162849,0.00162849,0.00162849
9,291.988,1.43448,1.74632,0.03508,0.30025,0.34366,0.2759,0.07946,2.18322,22.1563,0.07588,0.00162299,0.00162299,0.00162299
10,324.87,1.42484,1.71609,0.0343,0.76109,0.42523,0.44453,0.16569,2.07182,5.1845,0.07103,0.00161749,0.00161749,0.00161749
11,357.247,1.36866,1.70332,0.03278,0.71321,0.47212,0.55316,0.23659,1.80928,3.89009,0.05795,0.00161199,0.00161199,0.00161199
12,389.699,1.4,1.68248,0.03241,0.78436,0.55476,0.5744,0.23579,1.87969,8.89761,0.0642,0.00160649,0.00160649,0.00160649
13,422.051,1.37691,1.66041,0.03237,0.66738,0.39109,0.42789,0.18301,1.75628,10.119,0.05534,0.00160099,0.00160099,0.00160099
14,454.586,1.32777,1.56886,0.03177,0.4899,0.40284,0.43431,0.17549,1.86503,7.37541,0.06279,0.00159549,0.00159549,0.00159549
15,486.755,1.37827,1.61121,0.03218,0.63082,0.43532,0.46698,0.21531,1.84189,6.95736,0.06611,0.00158998,0.00158998,0.00158998
16,518.771,1.31669,1.51738,0.03242,0.69491,0.54148,0.60747,0.30892,1.68574,6.03798,0.05171,0.00158448,0.00158448,0.00158448
17,551.121,1.29077,1.49906,0.03097,0.85877,0.49739,0.61398,0.3044,1.84796,1.47061,0.06387,0.00157898,0.00157898,0.00157898
18,583.552,1.28944,1.43491,0.03025,0.50997,0.44657,0.40296,0.17138,1.99958,5.17873,0.0719,0.00157348,0.00157348,0.00157348
19,615.566,1.27533,1.46319,0.03025,0.6328,0.5124,0.53732,0.21415,1.98321,8.65125,0.07028,0.00156798,0.00156798,0.00156798
20,648.228,1.30982,1.41433,0.03027,0.71489,0.51899,0.58174,0.28248,1.82402,5.78514,0.06122,0.00156248,0.00156248,0.00156248
21,680.581,1.27874,1.41128,0.02995,0.68088,0.5114,0.51261,0.22967,1.58114,1.9866,0.05245,0.00155698,0.00155698,0.00155698
22,712.977,1.26841,1.408,0.02998,0.83895,0.636,0.69707,0.38006,1.58928,2.01668,0.04971,0.00155148,0.00155148,0.00155148
23,745.414,1.24463,1.30973,0.02931,0.71263,0.52339,0.59603,0.30978,1.73328,2.4486,0.05385,0.00154598,0.00154598,0.00154598
24,777.946,1.21825,1.3468,0.02875,0.70842,0.56653,0.63896,0.35327,1.68297,5.25643,0.05061,0.00154047,0.00154047,0.00154047
25,810.32,1.25505,1.38194,0.02893,0.68364,0.55448,0.62688,0.29983,1.76606,1.72934,0.05486,0.00153497,0.00153497,0.00153497
26,842.719,1.22538,1.34797,0.02805,0.70463,0.60042,0.67627,0.33441,1.78183,2.46781,0.05671,0.00152947,0.00152947,0.00152947
27,874.809,1.23645,1.3496,0.0278,0.77307,0.57379,0.65491,0.3332,1.76024,1.59383,0.05778,0.00152397,0.00152397,0.00152397
28,907.203,1.20929,1.2883,0.02826,0.74478,0.57506,0.62341,0.34633,1.6412,2.96176,0.0578,0.00151847,0.00151847,0.00151847
29,939.427,1.20574,1.26828,0.02696,0.73944,0.57022,0.60182,0.30085,1.80024,2.14381,0.0614,0.00151297,0.00151297,0.00151297
30,971.854,1.20488,1.28192,0.02675,0.70056,0.62835,0.67505,0.36068,1.59952,1.58209,0.05413,0.00150747,0.00150747,0.00150747
31,1003.88,1.2047,1.25702,0.02698,0.75363,0.59377,0.68047,0.33095,1.79347,1.77983,0.05981,0.00150197,0.00150197,0.00150197
32,1035.86,1.18806,1.20463,0.02691,0.79048,0.63575,0.69604,0.38064,1.68192,2.8176,0.05362,0.00149647,0.00149647,0.00149647
33,1068.86,1.15298,1.25227,0.02646,0.73235,0.67375,0.71849,0.39232,1.62964,1.77886,0.04986,0.00149096,0.00149096,0.00149096
34,1101.89,1.20875,1.19113,0.02742,0.77038,0.6225,0.65657,0.31671,1.84884,1.74177,0.05954,0.00148546,0.00148546,0.00148546
35,1133.86,1.19551,1.21334,0.0268,0.79347,0.52833,0.66365,0.33567,1.74009,1.62757,0.05317,0.00147996,0.00147996,0.00147996
36,1166.27,1.17343,1.1281,0.02668,0.73697,0.66029,0.69696,0.36878,1.72114,1.84457,0.05305,0.00147446,0.00147446,0.00147446
37,1198.64,1.13722,1.12065,0.02506,0.77913,0.66187,0.6971,0.36422,1.71294,1.36767,0.05117,0.00146896,0.00146896,0.00146896
38,1230.7,1.13488,1.12429,0.02551,0.87897,0.62946,0.68668,0.35977,1.75994,4.27014,0.05499,0.00146346,0.00146346,0.00146346
39,1262.66,1.20028,1.18102,0.02671,0.78451,0.61672,0.71666,0.39167,1.69449,1.68943,0.05289,0.00145796,0.00145796,0.00145796
40,1295.12,1.15727,1.09321,0.02607,0.73903,0.69012,0.70078,0.38455,1.75676,1.76531,0.05589,0.00145246,0.00145246,0.00145246
41,1327.51,1.10874,1.08872,0.0254,0.81231,0.68167,0.72413,0.37917,1.72279,1.60374,0.05267,0.00144696,0.00144696,0.00144696
42,1359.86,1.11856,1.10268,0.02429,0.83627,0.69041,0.7587,0.41606,1.66445,1.4578,0.04892,0.00144145,0.00144145,0.00144145
43,1392.28,1.11898,1.04212,0.02502,0.81782,0.6147,0.71588,0.41158,1.65062,1.58292,0.05122,0.00143595,0.00143595,0.00143595
44,1424.22,1.1025,1.06316,0.02492,0.73452,0.63723,0.66392,0.38585,1.67294,1.72335,0.05368,0.00143045,0.00143045,0.00143045
45,1456.18,1.14936,1.1426,0.02527,0.87012,0.63992,0.72207,0.39447,1.71052,1.59167,0.05409,0.00142495,0.00142495,0.00142495
46,1488.57,1.10374,1.08576,0.02381,0.71069,0.69236,0.7198,0.40988,1.59383,1.42231,0.04571,0.00141945,0.00141945,0.00141945
47,1520.88,1.10414,1.04713,0.02424,0.78785,0.57036,0.66872,0.36097,1.63383,1.30758,0.04733,0.00141395,0.00141395,0.00141395
48,1553.22,1.12344,1.11029,0.02429,0.75247,0.61261,0.67767,0.38596,1.55986,2.00003,0.04605,0.00140845,0.00140845,0.00140845
49,1585.58,1.05953,0.99234,0.02328,0.78507,0.63056,0.73605,0.40993,1.69337,1.10245,0.05296,0.00140295,0.00140295,0.00140295
50,1617.98,1.10402,0.99129,0.02437,0.77622,0.58149,0.6483,0.33551,1.69341,1.46693,0.05104,0.00139745,0.00139745,0.00139745
51,1650.33,1.09243,1.01833,0.02367,0.84948,0.59672,0.70247,0.39593,1.63592,2.05648,0.04866,0.00139195,0.00139195,0.00139195
52,1682.29,1.10202,0.9938,0.02527,0.90941,0.61672,0.70834,0.403,1.6385,1.19142,0.04887,0.00138644,0.00138644,0.00138644
53,1714.26,1.05617,0.97078,0.02363,0.76874,0.70003,0.75568,0.41066,1.65983,1.52645,0.04929,0.00138094,0.00138094,0.00138094
54,1746.72,1.06562,0.98683,0.0236,0.80094,0.54015,0.65711,0.34528,1.72653,1.82745,0.0523,0.00137544,0.00137544,0.00137544
55,1778.77,1.0681,0.96824,0.02408,0.76356,0.67908,0.75254,0.47221,1.54587,1.04161,0.04394,0.00136994,0.00136994,0.00136994
56,1811.26,1.07834,0.98497,0.02382,0.77081,0.67247,0.71896,0.40471,1.64003,1.61971,0.04723,0.00136444,0.00136444,0.00136444
57,1843.55,1.0404,0.93548,0.02274,0.77518,0.57859,0.67477,0.37472,1.59232,1.2695,0.04554,0.00135894,0.00135894,0.00135894
58,1876.02,1.07504,0.97879,0.02343,0.83256,0.67297,0.7408,0.41794,1.67759,1.26768,0.04921,0.00135344,0.00135344,0.00135344
59,1908.39,1.0382,0.93514,0.02278,0.62505,0.54233,0.58913,0.31088,1.66963,1.40951,0.04972,0.00134794,0.00134794,0.00134794
60,1940.78,1.05103,0.95354,0.02238,0.80415,0.65682,0.72677,0.42909,1.60636,1.4095,0.04771,0.00134244,0.00134244,0.00134244
61,1973.12,1.01797,0.94076,0.0226,0.77855,0.70064,0.75438,0.45152,1.62111,1.105,0.04806,0.00133693,0.00133693,0.00133693
62,2005.53,1.02525,0.87799,0.02224,0.81863,0.65365,0.70978,0.37829,1.64876,1.3406,0.0489,0.00133143,0.00133143,0.00133143
63,2037.59,1.02431,0.90739,0.02287,0.74277,0.64841,0.65024,0.34866,1.6458,1.51791,0.04929,0.00132593,0.00132593,0.00132593
64,2069.53,1.039,0.90823,0.02273,0.79109,0.7031,0.74411,0.41773,1.64967,1.70294,0.05097,0.00132043,0.00132043,0.00132043
65,2101.49,1.02428,0.911,0.02245,0.86204,0.70556,0.78601,0.4524,1.60693,1.16144,0.04751,0.00131493,0.00131493,0.00131493
66,2133.9,1.00598,0.91093,0.02185,0.81111,0.70776,0.78918,0.43067,1.6121,1.12865,0.04656,0.00130943,0.00130943,0.00130943
67,2166.32,1.06265,0.93474,0.02295,0.86404,0.68398,0.76271,0.44339,1.61148,1.12705,0.04678,0.00130393,0.00130393,0.00130393
68,2198.64,1.01934,0.89705,0.02275,0.81003,0.71959,0.75963,0.43961,1.53875,1.44653,0.04399,0.00129843,0.00129843,0.00129843
69,2230.59,1.03911,0.89152,0.022,0.8114,0.73405,0.78702,0.41801,1.7103,1.39341,0.05296,0.00129293,0.00129293,0.00129293
70,2262.62,1.03166,0.921,0.02257,0.81664,0.66897,0.74115,0.43736,1.56444,1.14826,0.04787,0.00128742,0.00128742,0.00128742
71,2294.55,1.00133,0.9191,0.02206,0.84113,0.67835,0.76018,0.44344,1.65568,1.8426,0.05111,0.00128192,0.00128192,0.00128192
72,2326.59,0.96866,0.82633,0.02161,0.7569,0.58217,0.68066,0.37285,1.71576,1.44647,0.05132,0.00127642,0.00127642,0.00127642
73,2358.98,0.97277,0.89558,0.0212,0.795,0.58084,0.6888,0.38143,1.66889,1.31639,0.04999,0.00127092,0.00127092,0.00127092
74,2391.41,0.9819,0.89957,0.02118,0.75651,0.59157,0.69956,0.42094,1.54811,1.24397,0.05243,0.00126542,0.00126542,0.00126542
75,2423.78,1.00287,0.8495,0.0212,0.85071,0.67471,0.7574,0.4496,1.62899,1.10144,0.04991,0.00125992,0.00125992,0.00125992
76,2456.23,0.9823,0.84344,0.02086,0.77528,0.69785,0.74925,0.44508,1.58038,1.74731,0.04601,0.00125442,0.00125442,0.00125442
77,2488.41,1.00042,0.84126,0.02114,0.81485,0.63767,0.72739,0.43772,1.62534,1.26424,0.05048,0.00124892,0.00124892,0.00124892
78,2520.41,0.94986,0.82038,0.02067,0.83263,0.70855,0.7763,0.48293,1.53636,1.11124,0.04366,0.00124342,0.00124342,0.00124342
79,2552.85,0.95599,0.85448,0.02093,0.93298,0.62877,0.72442,0.43438,1.56035,1.33072,0.04508,0.00123791,0.00123791,0.00123791
80,2585.28,0.98502,0.86203,0.02094,0.79994,0.69751,0.7583,0.44878,1.60104,1.32401,0.04622,0.00123241,0.00123241,0.00123241
81,2617.67,0.95475,0.82601,0.02077,0.86169,0.66367,0.76698,0.44855,1.53017,1.00594,0.04463,0.00122691,0.00122691,0.00122691
82,2649.66,0.95193,0.83065,0.02042,0.89515,0.65141,0.74814,0.44689,1.53854,1.238,0.04609,0.00122141,0.00122141,0.00122141
83,2681.58,0.93401,0.78955,0.02084,0.77413,0.71102,0.75834,0.47623,1.54115,1.01662,0.04561,0.00121591,0.00121591,0.00121591
84,2714.03,0.93529,0.75901,0.02058,0.83882,0.61834,0.7042,0.41179,1.52395,1.17021,0.04449,0.00121041,0.00121041,0.00121041
85,2746.45,0.93712,0.80297,0.02007,0.78208,0.65465,0.73415,0.46108,1.50108,1.29547,0.04323,0.00120491,0.00120491,0.00120491
86,2778.91,0.93077,0.79741,0.02003,0.79157,0.64603,0.71236,0.42097,1.50666,1.21023,0.04277,0.00119941,0.00119941,0.00119941
87,2811.32,0.93172,0.78132,0.01985,0.85119,0.66665,0.74263,0.45889,1.54367,1.0902,0.04323,0.00119391,0.00119391,0.00119391
88,2843.81,0.96267,0.8281,0.02024,0.81305,0.66304,0.74483,0.46467,1.51188,1.09457,0.04304,0.0011884,0.0011884,0.0011884
89,2876.02,0.96022,0.78538,0.02014,0.7955,0.668,0.73858,0.44628,1.51477,1.11112,0.04228,0.0011829,0.0011829,0.0011829
90,2908.03,0.92481,0.75889,0.01917,0.79623,0.71225,0.75571,0.46547,1.48324,1.1094,0.04162,0.0011774,0.0011774,0.0011774
91,2940,0.94291,0.79057,0.01984,0.84458,0.67841,0.74964,0.47757,1.48535,1.17606,0.04268,0.0011719,0.0011719,0.0011719
92,2972.48,0.93678,0.76509,0.01985,0.82599,0.66665,0.75901,0.48267,1.52962,1.13564,0.04251,0.0011664,0.0011664,0.0011664
93,3004.97,0.93569,0.77693,0.0192,0.82788,0.73651,0.77859,0.47528,1.57793,1.22511,0.04655,0.0011609,0.0011609,0.0011609
94,3037.39,0.90325,0.75186,0.01977,0.83115,0.67975,0.75392,0.49625,1.47451,1.02981,0.04095,0.0011554,0.0011554,0.0011554
95,3070.44,0.92611,0.72662,0.01919,0.82612,0.67177,0.7503,0.45304,1.56765,1.18326,0.04591,0.0011499,0.0011499,0.0011499
96,3102.45,0.92729,0.74197,0.01988,0.82001,0.69163,0.74119,0.46962,1.56104,1.12443,0.04971,0.0011444,0.0011444,0.0011444
97,3134.38,0.91645,0.7671,0.01953,0.85347,0.5667,0.69964,0.41925,1.57734,1.24135,0.04423,0.00113889,0.00113889,0.00113889
98,3166.64,0.92381,0.75017,0.01902,0.82733,0.71538,0.7711,0.45708,1.5918,1.0801,0.04518,0.00113339,0.00113339,0.00113339
99,3199.01,0.91612,0.7391,0.01918,0.85451,0.7046,0.73654,0.43575,1.65005,1.13902,0.04894,0.00112789,0.00112789,0.00112789
100,3231.3,0.92025,0.77836,0.01997,0.77412,0.65962,0.7128,0.42577,1.58972,1.23823,0.04625,0.00112239,0.00112239,0.00112239
101,3263.27,0.90668,0.722,0.01948,0.90187,0.65191,0.7339,0.45511,1.56694,1.01058,0.0448,0.00111689,0.00111689,0.00111689
102,3295.34,0.89813,0.69299,0.01931,0.84332,0.67993,0.75997,0.45915,1.52216,1.03626,0.04288,0.00111139,0.00111139,0.00111139
103,3327.83,0.88389,0.67446,0.01851,0.82688,0.7226,0.76632,0.4895,1.49378,1.0643,0.04113,0.00110589,0.00110589,0.00110589
104,3360.25,0.88017,0.68835,0.01906,0.78907,0.61001,0.68038,0.43952,1.42504,1.10959,0.03988,0.00110039,0.00110039,0.00110039
105,3392.52,0.92097,0.75033,0.01878,0.79913,0.61643,0.6988,0.42811,1.55451,1.21903,0.04503,0.00109489,0.00109489,0.00109489
106,3425,0.87079,0.71669,0.01873,0.77726,0.67253,0.69822,0.43424,1.49801,1.13459,0.04136,0.00108938,0.00108938,0.00108938
107,3457.45,0.88151,0.73543,0.01885,0.81111,0.69888,0.76357,0.48124,1.42692,1.01499,0.03914,0.00108388,0.00108388,0.00108388
108,3489.57,0.85473,0.6859,0.0178,0.78707,0.7361,0.78132,0.49467,1.48644,0.96655,0.04138,0.00107838,0.00107838,0.00107838
109,3521.67,0.87249,0.67308,0.01845,0.84145,0.72838,0.79081,0.50155,1.48205,1.12592,0.04083,0.00107288,0.00107288,0.00107288
110,3554.44,0.88763,0.71708,0.01893,0.83917,0.67832,0.7368,0.46939,1.45413,1.1224,0.03964,0.00106738,0.00106738,0.00106738
111,3586.83,0.88766,0.71027,0.0179,0.85776,0.69309,0.77944,0.46754,1.4865,1.05499,0.0416,0.00106188,0.00106188,0.00106188
112,3618.94,0.83989,0.66556,0.01806,0.85563,0.65779,0.74896,0.47288,1.42006,1.04094,0.03839,0.00105638,0.00105638,0.00105638
113,3651.25,0.86586,0.71328,0.018,0.86716,0.67469,0.7529,0.48454,1.38061,0.9993,0.03668,0.00105088,0.00105088,0.00105088
114,3683.83,0.82766,0.66375,0.01782,0.81282,0.68153,0.73494,0.43193,1.52703,1.07208,0.04261,0.00104538,0.00104538,0.00104538
115,3716.24,0.83086,0.64124,0.0175,0.83989,0.71073,0.78377,0.50077,1.51911,1.0448,0.04225,0.00103987,0.00103987,0.00103987
116,3748.4,0.86086,0.64168,0.01814,0.88574,0.69454,0.75893,0.46847,1.48528,1.10024,0.04085,0.00103437,0.00103437,0.00103437
117,3780.56,0.83076,0.64961,0.01762,0.83378,0.68655,0.76908,0.50046,1.45118,1.16126,0.04059,0.00102887,0.00102887,0.00102887
118,3812.98,0.8387,0.6519,0.01775,0.83978,0.76006,0.79826,0.50919,1.46116,0.9859,0.03968,0.00102337,0.00102337,0.00102337
119,3845.37,0.85455,0.6488,0.01731,0.76326,0.75713,0.78852,0.50691,1.53,0.99485,0.04318,0.00101787,0.00101787,0.00101787
120,3877.38,0.84255,0.68,0.01683,0.91266,0.67026,0.76471,0.47631,1.53406,1.07078,0.0428,0.00101237,0.00101237,0.00101237
121,3909.4,0.83683,0.67933,0.01755,0.84082,0.68351,0.7504,0.46915,1.52224,1.89328,0.04247,0.00100687,0.00100687,0.00100687
122,3941.55,0.82843,0.653,0.01735,0.89803,0.65211,0.74498,0.47378,1.51297,1.14487,0.04147,0.00100137,0.00100137,0.00100137
123,3973.57,0.80551,0.63323,0.01684,0.90039,0.65941,0.74767,0.49173,1.46445,1.09985,0.04061,0.000995866,0.000995866,0.000995866
124,4005.57,0.8125,0.63144,0.01672,0.90242,0.69606,0.80844,0.51759,1.43948,0.98316,0.03968,0.000990365,0.000990365,0.000990365
125,4038.03,0.81014,0.59598,0.01698,0.83828,0.75496,0.78915,0.53224,1.41774,1.00707,0.0379,0.000984864,0.000984864,0.000984864
126,4070.63,0.81758,0.62601,0.01727,0.82654,0.73671,0.77649,0.4667,1.46465,0.9851,0.04012,0.000979362,0.000979362,0.000979362
127,4102.71,0.8344,0.63666,0.01721,0.82106,0.72631,0.77324,0.4992,1.4442,1.05594,0.0397,0.000973861,0.000973861,0.000973861
128,4135.01,0.81326,0.59651,0.01721,0.88522,0.68974,0.75615,0.48823,1.46362,1.09538,0.04072,0.00096836,0.00096836,0.00096836
129,4167.42,0.82487,0.6072,0.01675,0.82605,0.67768,0.75778,0.48227,1.47128,1.01644,0.04099,0.000962859,0.000962859,0.000962859
130,4199.63,0.82383,0.61911,0.01702,0.83171,0.67798,0.76772,0.49979,1.4759,0.97726,0.04077,0.000957358,0.000957358,0.000957358
131,4231.61,0.81452,0.61301,0.01696,0.88788,0.65998,0.74501,0.48168,1.49677,1.1222,0.0414,0.000951857,0.000951857,0.000951857
132,4263.65,0.84327,0.64076,0.01748,0.88954,0.72851,0.79772,0.50095,1.47465,0.98532,0.04064,0.000946356,0.000946356,0.000946356
133,4296.19,0.8242,0.6292,0.01684,0.80162,0.70869,0.76594,0.49025,1.46544,1.03374,0.0402,0.000940855,0.000940855,0.000940855
134,4328.59,0.81124,0.61621,0.01739,0.78235,0.73271,0.77052,0.48161,1.42487,1.01896,0.03863,0.000935354,0.000935354,0.000935354
135,4360.73,0.7845,0.5915,0.01656,0.84181,0.69606,0.77006,0.48501,1.47224,1.15044,0.0408,0.000929853,0.000929853,0.000929853
136,4393.15,0.79723,0.62168,0.01678,0.8386,0.66295,0.74751,0.46361,1.55524,1.03877,0.04428,0.000924352,0.000924352,0.000924352
137,4425.28,0.79405,0.61685,0.01615,0.87607,0.68205,0.76346,0.5016,1.43069,1.00974,0.03824,0.00091885,0.00091885,0.00091885
138,4457.28,0.78264,0.5884,0.01622,0.90251,0.7171,0.78067,0.50722,1.47321,1.02794,0.04035,0.000913349,0.000913349,0.000913349
139,4489.14,0.79793,0.61315,0.01576,0.88273,0.68455,0.79143,0.52752,1.44844,0.96915,0.03963,0.000907848,0.000907848,0.000907848
140,4521.49,0.79504,0.58019,0.01604,0.84821,0.70855,0.78357,0.48207,1.48674,0.9818,0.04003,0.000902347,0.000902347,0.000902347
